comprador,departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,supera_minimo
MUNICIPALIDAD PROVINCIAL DE CARABAYA - MACUSANI,PUNO,17,0,0.0,4867611.0,True
DIRECCIÓN DE SANIDAD DE LA PNP,LIMA,16,0,0.0,13434189.0,True
GOBIERNO REGIONAL DE CUSCO-INSTITUTO DE MANEJO DE AGUA Y MEDIO AMBIENTE( IMA),CUSCO,16,0,0.0,4189817.0,True
GOBIERNO REGIONAL DE HUANUCO-TRANSPORTES,HUANUCO,16,0,0.0,3509522.0,True
HOSPITAL DE EMERGENCIAS - JOSÉ CASIMIRO ULLOA,LIMA,16,0,0.0,6163297.0,True
MUNICIPALIDAD DISTRITAL DE PERENE,JUNIN,16,0,0.0,6302144.0,True
MUNICIPALIDAD PROVINCIAL DE ANTA,CUSCO,16,0,0.0,1726658.0,True
MUNICIPALIDAD PROVINCIAL DE HUARAL,LIMA,16,0,0.0,7530665.0,True
MUNICIPALIDAD PROVINCIAL DE LAURICOCHA,HUANUCO,16,0,0.0,139815113.0,True
MUNICIPALIDAD PROVINCIAL DE PUNO,PUNO,16,0,0.0,2292567.0,True
SERVICIO DE AGUA POTABLE Y ALCANTARILLADO MUNICIPAL DE HUANCAYO,JUNIN,16,0,0.0,6214914.0,True
EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,CUSCO,15,0,0.0,43316433.0,True
GOBIERNO REGIONAL DE LA LIBERTAD Sede Central,LA LIBERTAD,15,0,0.0,17324693.0,True
MUNICIPALIDAD DISTRITAL DE RIO NEGRO,JUNIN,15,0,0.0,12021892.0,True
MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE CHANA,ANCASH,15,0,0.0,3977898.0,True
MUNICIPALIDAD DISTRITAL DE SOROCHUCO,CAJAMARCA,15,0,0.0,5171789.0,True
MUNICIPALIDAD PROVINCIAL DE HUARI,ANCASH,15,0,0.0,5683705.0,True
UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA,AYACUCHO,15,0,0.0,2598733.0,True
UNIDAD EJECUTORA 002 CONSERVACION DE BOSQUES,LIMA,14,14,100.0,1716537.0,False
GOBIERNO REGIONAL DE ANCASH - DIRECCION DE RED DE SALUD PACIFICO NORTE,ANCASH,11,11,100.0,773201.0,False
MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,LIMA,7,7,100.0,17581736.0,False
MINAG - PROYECTO ESPECIAL BINACIONAL PUYANGO - TUMBES,TUMBES,6,6,100.0,1406784.0,False
"UNIDAD EJECUTORA 022 \""PROYECTO DE TRANSFORMACIÓN DIGITAL CON EQUIDAD - PROTDE",LIMA,5,5,100.0,163488.0,False
MUNICIPALIDAD DISTRITAL DE SANTA CATALINA DE MOSSA,PIURA,4,4,100.0,1521266.0,False
HOSPITAL DE LIMA ESTE - VITARTE,LIMA,3,3,100.0,354820.0,False
FORTALECIMIENTO DEL SISTEMA NACIONAL DE VIGILANCIA EN SALUD PÚBLICA,LIMA,2,2,100.0,137224.0,False
INPE-DIRECCION REGIONAL ORIENTE PUCALLPA,UCAYALI,2,2,100.0,3118064.0,False
MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE AREQUIPA,AREQUIPA,2,2,100.0,529200.0,False
MUNICIPALIDAD DISTRITAL DE HUALLAGA,SAN MARTIN,2,2,100.0,9963727.0,False
MUNICIPALIDAD DISTRITAL DE UTCO,CAJAMARCA,2,2,100.0,2258635.0,False
MUNICIPALIDAD PROVINCIAL DE PAUCAR DEL SARA SARA - PAUSA,AYACUCHO,2,2,100.0,1241078.0,False
PROCURADURIA GENERAL DEL ESTADO,LIMA,2,2,100.0,6249600.0,False
PROGRAMA DE DESARROLLO DE SANIDAD AGROPECUARIA,LIMA,2,2,100.0,1000036.0,False
UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUIA DE BAGUA,AMAZONAS,2,2,100.0,1332432.0,False
AUTORIDAD NACIONAL DEL SERVICIO CIVIL,LIMA,1,1,100.0,441996.0,False
"CENTRO DE EXPORTACIÓN, TRANSFORMACIÓN, INDUSTRIA, COMERCIO Y SERVICIOS DE PAITA",PIURA,1,1,100.0,2600.0,False
CONTRALORÍA GENERAL - GESTIÓN DE PROYECTOS Y FORTALECIMIENTO DE CAPACIDADES,LIMA,1,1,100.0,25000.0,False
CORTE SUPERIOR DE JUSTICIA DE PIURA,PIURA,1,1,100.0,140400.0,False
ESCUELA NACIONAL DE BELLAS ARTES,LIMA,1,1,100.0,805000.0,False
ESCUELA NACIONAL SUPERIOR DE FOLKLORE,LIMA,1,1,100.0,63904.0,False
FONDO DE COOPERACION PARA EL DESARROLLO SOCIAL,LIMA,1,1,100.0,259369.0,False
GOBIERNO REGIONAL DE PUNO-SALUD COLLAO,PUNO,1,1,100.0,108250.0,False
GOBIERNO REGIONAL DE TUMBES-TRANSPORTES,TUMBES,1,1,100.0,273226.0,False
GOBIERNO REGIONAL DEL CALLAO - HOSPITAL DE APOYO SAN JOSE,CALLAO,1,1,100.0,104998.0,False
HOSPITAL HERMILIO VALDIZAN,LIMA,1,1,100.0,693333.0,False
INSTITUTO METROPOLITANO DE PLANIFICACION,LIMA,1,1,100.0,300333.0,False
INSTITUTO VIAL PROVINCIAL MUNICIPALIDAD DE PALLASCA,ANCASH,1,1,100.0,64152.0,False
MEJORAMIENTO DE LA CALIDAD DE LA EDUCACION BASICA,LIMA,1,1,100.0,270000.0,False
MINAG - PROYECTO ESPECIAL JEQUETEPEQUE - ZAÑA,CAJAMARCA,1,1,100.0,179891.0,False
